,Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Chair/None,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown
Bed/Yellow,-1.0,0.23966766084363017,0.26160942115897,0.2375064200954182,-1.0,-1.0,-1.0,-1.0,0.3183091418385536,0.2878792552152411,0.19608200149302438,0.18428609243120264,0.2308000041031112,0.258256125512477,0.257165267259004,0.5845446397256537,0.2630629547231075,0.3415248706000213,0.36543177794741033,0.44438124355647196,0.3150015553201794,0.3749230068825152,-1.0,0.44844389966815146,0.4116270932952807,0.2611034230658764,0.26696414099520416,0.2625666262814189,0.3137465824032988,0.4529344490618595,0.4200727566014434,0.6226326985938878,0.21460543258323628,0.2716985233185258,0.2264536708140039,0.2477963821728203,0.5021845025862502,0.28813461649282546,0.2350501209816799,0.24138667359879673,0.362593632251495,0.3164782302537364,0.2663669150982095,0.22568676482536357,-1.0,-1.0,0.293664955924345,0.31484729905995595,0.29030826590578257,-1.0,-1.0,-1.0
Bed/Blue,0.23966766084363017,-1.0,0.23096155067585125,0.21753858202136853,-1.0,-1.0,-1.0,-1.0,0.22154773245895826,0.20265589765508701,0.2169462643825512,0.2834587638363309,0.5264635687210445,0.46228522998690197,0.2612466691049689,0.2768625930950469,0.2811960674729964,0.3607685813857842,0.24439221692253177,0.33483338690667525,0.6295643414756988,0.4175423457528984,-1.0,0.2655337227827934,0.18002253882186045,0.41580041580041577,0.5326160770162847,0.3070296634516276,0.27751182894170867,-1.0,0.3004424014361147,0.3820497734444844,0.2393591557536622,0.4769655452014285,0.30408631185875795,0.4070224947765446,0.4309416074121956,0.1698629206230572,0.4004859229198094,0.2482806564540557,0.47024081031896425,0.23301807929022694,0.3605877580456143,0.2526640263275915,-1.0,-1.0,0.24766622213755,0.8169534173161446,0.40936420621721886,-1.0,-1.0,-1.0
Bed/Green,0.26160942115897,0.23096155067585125,-1.0,0.4778972520908005,-1.0,-1.0,-1.0,-1.0,0.2758104997992712,0.23128971349512395,0.3738364340988673,0.40666386520448417,0.45186167008073264,0.2957967284881829,0.4440863557639237,0.22414865538825346,0.36040321912155326,0.35170625493587765,0.40104807229559913,0.2610602527063246,0.5342793639938451,0.5231014686073732,-1.0,0.5799006436897145,0.2545556367709254,0.3393676126942879,0.3070571979324816,0.3673036761850791,0.33976953917542785,0.4503895869927487,0.2479974208268234,0.48220076428821135,0.305731351082428,0.2554077265094064,0.2917067763484146,0.31673133264708214,0.5139450421434933,0.4750086095310478,0.2256437697337565,0.2600839420923103,0.2645642626594,0.3044313792644177,0.3893360846416648,0.3040684356692546,-1.0,-1.0,0.3564698081954785,0.3089996137504828,0.3971195594620354,-1.0,-1.0,-1.0
Bed/White,0.2375064200954182,0.21753858202136853,0.4778972520908005,-1.0,-1.0,-1.0,-1.0,-1.0,0.22862517881755057,0.20953817785600537,0.279082275992074,0.2597014731566065,0.2127885945313331,0.19565068526652513,0.39076237739830405,0.543020824848633,0.3947451525295269,0.25823245052266247,0.2829401251538487,0.3902819787296322,-1.0,0.3198683970023762,-1.0,0.29493957425472456,0.319138750890929,0.4681034321343644,0.34094285310720707,0.36746242696684267,0.2980848051270587,0.37136526249334645,0.4868726949620848,0.5440499075115157,0.299637438699174,0.5857544517338332,-1.0,0.23081361800346217,-1.0,0.33027280533720854,0.21714321560149877,0.3086162572872013,0.24756826075869767,0.30487937665233733,0.3569601275537523,0.33563992548793653,-1.0,-1.0,0.3916024764940613,0.7516818882249031,0.23006884810279477,-1.0,-1.0,-1.0
Bed/Red,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bed/Brown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/2,0.3183091418385536,0.22154773245895826,0.2758104997992712,0.22862517881755057,-1.0,-1.0,-1.0,-1.0,-1.0,0.9222801603348586,0.24756083807595716,0.2268221759504983,0.16471557150420613,0.6986330080808552,0.24269095733492974,0.3189640049120457,0.24158965996255363,0.21607761507933648,0.20972714498437534,0.29947068556326695,0.30780122197085125,0.200046010582434,-1.0,0.3874647407085956,0.22781637999772186,0.2581484560140846,0.2437512622833225,0.2969143179506974,0.2565527857356651,0.3796267004112623,0.28228917703295253,0.26704230617735614,0.1916446754401599,0.3027951779867906,0.23682652457075193,0.22482014388489208,0.5602083975238789,0.375610366846125,0.18074497916268598,0.33898815801368004,0.3142549173038185,0.35512264414174466,0.25804587023389275,0.22666228452916576,-1.0,-1.0,0.25108497681326813,0.24694711627504967,0.19868914834380177,-1.0,-1.0,-1.0
BookShelf/3,0.2878792552152411,0.20265589765508701,0.23128971349512395,0.20953817785600537,-1.0,-1.0,-1.0,-1.0,0.9222801603348586,-1.0,0.30325749088121573,0.22465683668196834,0.17604742717688146,0.2768242719521648,0.40334869046125166,0.8378016085790885,0.26730004047686323,0.259000259000259,0.2780334999474826,0.28570612268220913,0.24531349019768178,0.22820434558125072,-1.0,0.42242573755533774,0.24919711803532993,0.2208813903747253,0.230370240417927,0.281188866527679,0.25783246690881434,0.38926157080019197,0.2525029353466234,0.19887041603691039,0.19224207121607528,0.3017857485795493,0.26476740183748576,0.35411391844756457,0.5543544542380399,0.31904905151274826,0.17897711002080907,0.2604338480663655,0.24000038400061438,0.28224402818677025,0.2539837348816182,0.19690659735554442,-1.0,-1.0,0.21434800413804458,0.23780152490227843,0.2018474811597003,-1.0,-1.0,-1.0
