Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Chair/None,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown
0.0/0.0,1.6453017/1.10196507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.37/1.69120014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2.072133/2.19786668,-1,-0.187600255/2.52213335,0.0/0.0,-1,-1,-1,-1,-1.07933342/2.72479987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2.73939323/1.24545491,0.381958842/2.50309277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1.8345449/3.17,4.029092/2.03,-3.72545457/3.17,4.029092/2.9118185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2.0865562/1.562787,2.79272723/1.01181829,-0.443636179/1.55727291,-1,-1,-1,-1,-1,-3.94363618/1.711818,-3.58000016/0.0118181258,-1.26181817/1.639091,-1,-1,-1,-3.93454528/1.99363661,-1,2.6381824/4.075455,-1,-1,-1,-3.270909/4.048182,3.16545463/4.08454561,-1,-2.76181817/-0.0518180877,-1,-3.58909059/0.7209092,-1,-1,-1,-1,-1,-1,-1,-1
0.0/0.0,-2.855765/1.2907145,2.47076583/2.02540851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.03178525/1.54326534,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2.4224/2.01519966,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3.983997/3.5,-1,-1,-1,-1,-1,-1,-1,-1.1680001/0.3800002,-1,-1,-1,-1,-1,-1,-1,-0.9103998/2.2167995,-1,-1,-1,-1,-1,-1,-1,2.00159979/3.6055994,0.4000001/3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.99555528/3.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.774444/1.717778,-1,-1,-1,-1,-1,-1,-1,-4.03999758/3.5,-1,-1,-1,3.74444413/3.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.5255555/1.98222208,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.276666284/1.54666638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.967777669/2.19222236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,3.45305824/3.00438,-1,-3.76181817/2.08206582,-1,-1,-1,-1,-1,-4.43/3.17,-3.76181817/3.17,-1,-1,-1,-1,-1,-0.7271073/2.32008243,-1,-1,-1.63454533/2.95975232,-1,-1,-1,-1,-1,-1,2.06958723/1.60603333,-1,-1,-1,-1,-1,-2.70561957/3.17,-1,-1,-1,-1,-1,3.58694243/3.926694,0.0/3.8,2.99190044/1.66553712,2.0844624/2.42421484,-1,-1,-1,-1,-1,-1,4.137355/3.13826466,-1,-1,-1
-1,-4.25272751/2.66223145,-1,3.5125618/3.13826466,-1,-1,-1,-1,-1,-1.36677718/3.1085124,-1.99157023/3.17,1.02826452/-0.87,-1,-1,1.66793382/3.17,-1,-1.23289251/0.862231553,-2.89900851/0.81760335,-1,-1,-1,-1,-1,-1,3.03652859/-0.595619857,-1,-1,-1,-2.06595039/0.936611354,-1,4.00347137/0.3713224,-1,-1,-0.370082617/3.17,-1,-3.76181817/3.8,-1,3.572066/3.8,-1,-1,-1,4.06297541/-0.5807438,-1,2.99190044/0.282066,-1,-1,4.16710758/2.39446282,-1,-3.70231414/2.885372,-1,-1,-1
-1,-1,-1,-2.98826432/3.12338853,-1,-1,-1,-1,3.229917/3.17,3.69107485/2.885372,-1.35190082/3.17,-1,-1,-1,-1,-1,-1,-1,2.01008272/-0.0005785078,1.16214859/-0.7295042,-1,-3.538678/0.8771076,-1,-1,-4.193223/0.8027273,-1,0.953884244/1.62090886,-1,-1,2.06958723/-0.5807438,-1,-1,-4.17834663/1.57628119,-1,-1,-1,-1,-1,2.69438076/3.837438,-3.55355382/3.94157,0.998512268/2.468843,-1,1.99520636/1.650661,-1,-1,-1,-4.074215/3.17,-1,4.092727/-0.87,-1,-1,-1
-1,-1,-1,-4.312232/1.96305788,-1,-1,-1,-1,-1,-1,1.50429749/3.17,-1,-1,2.09933877/3.17,-1,-1,-1,-1,-3.88082671/2.84074378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0315703154/-0.104710713,-1,-1,2.21834755/1.3382647,-1,-1,-1,-1,-1,-1,-1,-1
2.09933877/-0.669999957,-4.044463/2.915124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.06297541/-0.87,-3.10727334/3.17,-2.39322352/4.16,-1,-1,3.43818188/3.98619819,-1,-1,-1,3.27454519/0.9663635,-1,2.06958723/1.71016526,-1,-1,3.914215/2.93,-1,-1,-1,-1,-1
-1,-1,3.12578583/-0.6402478,-1,-1,-1,-1,-1,-1,-1,-3.37504125/3.17,-1,-0.489090919/3.06388426,-2.86925673/3.17,-1,-1,-4.029587/0.936611354,-1,-1,-1,-1,-1,-1,-1,-1,2.21834755/1.51677692,-1,-3.28578544/1.05561984,-1,-1,-1,2.962149/2.36471057,-1,-4.25272751/3.17,-1,-1,-1,-1,-3.34528947/4.07545471,-1,3.31917334/1.5911572,-1,-1,2.12909055/2.33495855,-1,-1,-1,-1,4.28611565/-0.7295042,-1,-1,-1
-1,4.152231/2.94487619,-1.81305814/2.885372,-1,-1,-1,-1,-1,-4.43/3.17,-3.95520663/2.885372,-3.31553769/3.17,-1,-1,-1,-1,-1,-2.17008281/0.7134709,-1,-2.97338843/1.35314071,3.46793365/2.82586765,-1,-1,-1,-1,-1,-1,2.72413254/0.4605788,-1,-3.04776883/0.8027273,-1,-1,-1,3.88446331/-0.87,-1.08413219/3.17,-1,-1,0.046446085/4.0903306,-3.94033027/4.06057835,3.5571897/3.971322,-1,3.67619848/0.505206466,-1,-1,-1,-1,-1,4.19685936/1.96305788,-1,-1,-1,-1,-1
-1,3.3340497/-0.863388538,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.033224/2.51347136,-1,-1,3.229917/3.04900813,-1,-1,-1,-1,-1,-1,3.21504164/2.439091,-1,-1,-1,-1,3.824959/3.04900813,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0/0.0,-1,-1,-1
-4.25272751/2.76636386,4.152231/3.00438,-2.03619814/0.163057968,-1,-1,-1,-1,-1,-1,-1.47090912/3.09363627,-0.8461156/3.17,4.43/-0.87,-1,-1,-0.08743799/3.1085124,-1,0.299339056/0.401074529,-1,-1,-1,0.96876055/-0.253471136,-1,-1,-1,-1,-1,2.38198328/1.47214866,0.299339056/-0.179090783,-1,-1,-1,-1,-1,3.45305824/3.17,-1,-1,0.581983566/3.971322,-1,3.94396663/4.04570246,-3.68743873/4.01595,-1,-1,-1,2.42661142/2.21595049,-1,-1,-3.61305785/3.09363627,3.17041373/1.79942167,-1,-1,-1,-1
3.393554/-0.87,-0.4295869/3.17,-1,-1,-1,-1,-1,-1,-1,-3.18165278/3.17,-3.79157043/3.17,-4.43/0.386198461,-1,-1,-2.512231/3.17,-1,-1,-1,-1,-1,-2.63124013/1.44239664,-1,-1,-1,-1,-1,-3.43454576/1.45727265,1.34066129/1.1002481,-1,-1,-1,2.709256/3.16801667,-1,-1,-1,-1,-1,-1,3.780331/4.00107431,-2.54198384/4.00107431,1.38528919/1.90355361,-1,-1,-1,-1,-1,-0.5337188/1.96305788,-1,-1,-1,-1,-1
-3.79157043/2.8704958,-1,2.99190044/-0.4617355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.414710522/0.8919837,-1.14363647/1.5911572,-1,-1,-1,-1,-1,-1,-1,-1,2.87289286/1.75479341,-1,-1,-1.17338872/0.9663635,-1,-1,-1,-1,-1,3.83983541/3.98619819,-1,-1,-3.49405026/3.95644617,-1,-1,3.780331/1.78454566,-1,2.82826471/2.49859524,-1,-1,-1,-1,3.48281/2.94487619,-1,-1,-1
-1,3.83983541/-0.5807438,-0.8907442/0.07380156,-1,-1,-1,-1,-1,-1,-4.356859/2.915124,-3.70231414/3.06388426,-1,-1,-1,-2.97338843/3.04900813,-1,-1,-1,-2.765124/1.96305788,-1,-1,-1,-1,-1,-3.55355382/1.96305788,3.06628132/1.93330574,-1,-1,-1,-1,-1,-1,-0.608099/0.7580991,-1,-3.330413/4.04570246,-1,-1,-1,3.81008267/4.01595,-1,4.033224/2.022562,-1,-1,3.00677681/2.67710757,-1,-1,3.21504164/-0.0154545754,0.0/0.0,-4.118843/1.27876043,-1,-1,-1
-1.48578548/-0.208842918,-1,2.81338835/-0.863388538,-1,-1,-1,-1,-1,4.43/1.38289285,-4.43/1.18950391,4.28611565/3.17,-1,-1,3.73570275/3.17,-1,-4.163471/3.17,-1,-2.08082676/1.8291738,-3.00314069/2.453967,-1,-1,-1,-1,-1,-2.98826432/1.93330574,-1,0.462975264/1.87380147,-1,-1,-1,-1,-1,3.98859477/-0.87,-1,-1,-3.25603366/4.03082657,-1,-1,-1,3.54231453/3.94157,1.60842991/2.15644622,-1,-0.384958982/1.93330574,0.3885951/2.6919837,-1,-1,3.40843/-0.342727244,-1,-0.950248/0.192809835,-1,-1,-1
3.85471058/-0.595619857,-1,-0.414710522/3.17,-1,-1,-1,-1,-1,-1,-1,-3.70231414/3.17,-3.10727334/3.17,-1,-1,-1,-1,-2.55685925/1.13000023,-3.31553769/1.87380147,-1,-1,-1,-1,-1,0.135702252/-0.193966851,-1,-1,-1,-3.330413/1.219256,-1,2.60512352/1.94818187,3.229917/0.23743777,-1,-1,3.52743816/2.81099153,-1,-1,-1,-1,3.75057817/4.0903306,0.0/3.8,3.72082663/1.93330574,0.0/0.0,-1,0.2844627/0.609338939,-1,-1,4.033224/0.356446326,-1,-1.292397/3.17,-1,-1,-1
