,Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Chair/None,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown
Bed/Yellow,-1.0,0.026629740093736684,0.020123801627613076,0.029688302511927275,-1.0,-1.0,-1.0,-1.0,0.03536768242650595,0.020562803943945794,0.01400585724950174,0.01675328113010933,0.02564444490034569,0.06456403137811925,0.0321456584073755,0.19484821324188456,0.037580422103301064,0.03794720784444681,0.040603530883045594,0.08887624871129439,0.03937519441502243,0.053560429554645024,-1.0,0.07474064994469191,0.06860451554921344,0.03263792788323455,0.019068867213943155,0.0375095180402027,0.0448209403433284,0.11323361226546487,0.08401455132028868,0.10377211643231464,0.015328959470231163,0.02264154360987715,0.032350524402000556,0.03539948316754576,0.2510922512931251,0.057626923298565086,0.013826477704804701,0.018568205661445902,0.030216136020957917,0.03955977878171705,0.05327338301964189,0.015045784321690904,-1.0,-1.0,0.017274409172020295,0.04497818557999371,0.020736304707555896,-1.0,-1.0,-1.0
Bed/Blue,0.026629740093736684,-1.0,0.028870193834481406,0.03107694028876693,-1.0,-1.0,-1.0,-1.0,0.044309546491791654,0.01842326342318973,0.01972238767114102,0.07086469095908272,0.17548785624034816,0.15409507666230066,0.03732095272928127,0.0922875310316823,0.03514950843412455,0.07215371627715685,0.04073203615375529,0.06696667738133505,0.1573910853689247,0.0695903909588164,-1.0,0.08851124092759781,0.03600450776437209,0.1386001386001386,0.06657700962703558,0.04386138049308965,0.046251971490284774,-1.0,0.07511060035902868,0.07640995468889687,0.02659546175040691,0.05962069315017856,0.06081726237175159,0.13567416492551487,0.14364720247073187,0.024266131517579597,0.04449843587997882,0.031035082056756962,0.047024081031896425,0.029127259911278368,0.18029387902280716,0.03158300329094894,-1.0,-1.0,0.019051247856734614,0.1633906834632289,0.05117052577715236,-1.0,-1.0,-1.0
Bed/Green,0.020123801627613076,0.028870193834481406,-1.0,0.07964954201513341,-1.0,-1.0,-1.0,-1.0,0.030645611088807912,0.021026337590465814,0.03115303617490561,0.06777731086741402,0.07531027834678877,0.07394918212204572,0.06344090796627481,0.056037163847063365,0.036040321912155324,0.0319732959032616,0.044560896921733234,0.08702008423544154,0.10685587279876903,0.1307753671518433,-1.0,0.19330021456323815,0.036365090967275054,0.048481087527755415,0.0341174664369424,0.05247195374072558,0.048538505596489694,0.15012986233091624,0.04959948416536468,0.12055019107205284,0.027793759189311637,0.021283977209117202,0.05834135526968292,0.07918283316177054,0.17131501404783112,0.11875215238276195,0.01611741212383975,0.032510492761538785,0.022047021888283332,0.038053922408052214,0.0973340211604162,0.02533903630577122,-1.0,-1.0,0.023764653879698568,0.0772499034376207,0.026474637297469027,-1.0,-1.0,-1.0
Bed/White,0.029688302511927275,0.03107694028876693,0.07964954201513341,-1.0,-1.0,-1.0,-1.0,-1.0,0.03266073983107865,0.020953817785600536,0.025371115999279457,0.06492536828915163,0.05319714863283327,0.04891267131663128,0.07815247547966081,0.2715104124243165,0.07894903050590538,0.05164649010453249,0.04715668752564145,0.06504699645493871,-1.0,0.04569548528605374,-1.0,0.07373489356368114,0.05318979181515484,0.09362068642687288,0.04870612187245815,0.12248747565561423,0.04968080085450978,0.12378842083111548,0.1217181737405212,0.18134996917050525,0.024969786558264498,0.11715089034676664,-1.0,0.046162723600692436,-1.0,0.08256820133430214,0.024127023955722086,0.030861625728720133,0.024756826075869768,0.04355419666461962,0.1189867091845841,0.05593998758132276,-1.0,-1.0,0.039160247649406135,0.18792047205622578,0.028758606012849346,-1.0,-1.0,-1.0
Bed/Red,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bed/Brown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/2,0.03536768242650595,0.044309546491791654,0.030645611088807912,0.03266073983107865,-1.0,-1.0,-1.0,-1.0,-1.0,0.07094462771806605,0.02750675978621746,0.04536443519009966,0.023530795929172302,0.23287766936028503,0.08089698577830991,0.07974100122801142,0.06039741499063841,0.03601293584655608,0.034954524164062556,0.07486767139081674,0.15390061098542562,0.033341001763739,-1.0,0.07749294814171911,0.04556327599954437,0.051629691202816914,0.0348216088976175,0.07422857948767435,0.04275879762261085,0.12654223347042076,0.09409639234431752,0.06676057654433903,0.01916446754401599,0.03784939724834883,0.05920663114268798,0.07494004796163069,0.2801041987619394,0.0626017278076875,0.02582071130895514,0.03766535089040889,0.03142549173038185,0.05073180630596352,0.051609174046778554,0.037777047421527626,-1.0,-1.0,0.01931422898563601,0.06173677906876242,0.024836143542975222,-1.0,-1.0,-1.0
BookShelf/3,0.020562803943945794,0.01842326342318973,0.021026337590465814,0.020953817785600536,-1.0,-1.0,-1.0,-1.0,0.07094462771806605,-1.0,0.016847638382289764,0.024961870742440925,0.022005928397110183,0.0692060679880412,0.044816521162361296,0.20945040214477212,0.03818572006812332,0.037000037000037005,0.030892611105275844,0.04761768711370152,0.04088558169961363,0.02852554319765634,-1.0,0.08448514751106755,0.03114963975441624,0.036813565062454215,0.017720787724455924,0.04016983807538271,0.03222905836360179,0.12975385693339733,0.06312573383665585,0.033145069339485064,0.012015129451004705,0.0274350680526863,0.052953480367497155,0.08852847961189114,0.1847848180793466,0.04557843593039261,0.011931807334720605,0.0173622565377577,0.01600002560004096,0.03136044757630781,0.05079674697632364,0.016408883112962035,-1.0,-1.0,0.011281473902002346,0.029725190612784804,0.01441767722569288,-1.0,-1.0,-1.0
