,Furniture,color,count,area_x,area_y
0,0,0,1,-1,-1
1,0,0,1,1,1
2,0,0,1,2,2
3,0,0,1,2,0
4,0,0,1,1,2
5,0,1,2,3,0
6,0,2,1,1,3
7,0,2,1,0,1
8,0,2,1,0,0
9,0,2,1,-1,-1
10,0,3,2,-1,-1
11,0,4,1,-1,-1
12,0,5,1,-1,-1
13,0,6,1,-1,-1
14,1,0,1,-1,-1
15,1,1,1,-1,-1
16,1,1,1,1,1
17,1,1,1,3,2
18,1,2,1,1,3
19,1,2,1,-1,-1
20,1,3,1,1,2
21,1,3,1,-1,-1
22,1,4,1,2,3
23,1,4,1,1,1
24,1,4,1,-1,-1
25,1,5,1,-1,-1
26,1,6,1,0,3
27,1,6,1,-1,-1
28,2,0,1,-1,-1
29,2,1,1,-1,-1
30,2,2,1,-1,-1
31,2,3,1,-1,-1
32,2,4,1,-1,-1
33,2,5,1,-1,-1
34,2,6,1,-1,-1
35,3,0,1,-1,-1
36,3,1,1,-1,-1
37,3,2,1,-1,-1
38,3,3,1,-1,-1
39,3,4,1,-1,-1
40,3,5,1,-1,-1
41,3,6,1,-1,-1
42,4,0,1,-1,-1
43,4,1,1,-1,-1
44,4,2,1,-1,-1
45,4,3,1,-1,-1
46,4,4,1,-1,-1
47,4,5,1,-1,-1
48,4,6,1,-1,-1
49,5,0,1,-1,-1
50,5,1,1,-1,-1
51,5,2,1,-1,-1
52,5,3,1,-1,-1
53,5,4,1,-1,-1
54,5,5,1,2,-1
55,5,5,1,-1,-1
56,5,6,1,-1,-1
57,6,0,1,-1,-1
58,6,1,1,-1,-1
59,6,2,1,-1,-1
60,6,3,1,-1,-1
61,6,4,1,-1,-1
62,6,5,1,-1,-1
63,6,6,1,-1,-1
64,7,0,1,-1,-1
65,7,1,1,-1,-1
66,7,2,1,-1,-1
67,7,3,1,-1,-1
68,7,4,1,-1,-1
69,7,5,1,-1,-1
70,7,6,1,-1,-1
71,8,0,1,-1,-1
72,8,1,1,-1,-1
73,8,2,1,-1,-1
74,8,3,1,-1,-1
75,8,4,1,-1,-1
76,8,5,1,-1,-1
77,8,6,1,-1,-1
