,index,Furniture,color,x,y,area_x,area_y,count,recom_x,recom_y
0,0,0,1,-2.60871577,2.03840375,0,2,2,3,0
1,1,0,1,4.1,2.70137119,3,3,2,3,0
2,2,0,1,-1.22212112,0.5022224,1,1,2,3,0
3,3,0,1,4.1,-0.644077361,3,0,2,3,0
4,4,0,2,-2.719091,0.632727146,0,1,1,1,3
5,5,1,3,-0.715454459,2.10666633,1,2,1,1,2
6,6,1,1,2.78515148,2.06828284,3,2,1,3,2
7,7,0,0,1.9603709,-0.237621069,2,0,1,1,1
8,8,1,4,0.7097361,2.5137763,2,3,1,2,3
9,9,1,6,-4.1,3.0,0,3,1,0,3
10,10,0,1,3.40696955,0.985858738,3,1,2,3,0
11,11,0,1,4.31999969,-0.8757575,3,0,2,3,0
12,12,0,2,-4.088484,-0.7315151,0,0,1,1,3
13,13,0,3,-4.258181,2.670909,-1,-1,1,-1,-1
14,14,1,4,0.0,0.0,1,1,1,2,3
15,15,1,1,0.0,0.0,1,1,1,3,2
16,16,5,5,2.0206058,3.77393937,2,-1,1,2,-1
17,17,0,0,0.0,0.0,1,1,1,1,1
18,18,0,1,1.6453017,1.10196507,2,2,2,3,0
19,19,0,0,-0.37,1.69120014,1,2,1,1,1
20,20,0,0,2.072133,2.19786668,2,2,1,1,1
21,21,1,2,-1.07933342,2.72479987,1,3,1,1,3
22,22,0,2,-0.187600255,2.52213335,1,3,1,1,3
23,23,0,3,0.947333157,2.16746664,2,2,1,-1,-1
24,24,0,3,0.0,0.0,1,1,1,-1,-1
