,Bed/Yellow,Bed/Blue,Bed/Green,Bed/White,Bed/Red,Bed/Brown,BookShelf/0,BookShelf/1,BookShelf/2,BookShelf/3,BookShelf/4,BookShelf/5,BookShelf/6,BookShelf/7,BookShelf/8,BookShelf/9,Chair/Yellow,Chair/Blue,Chair/Green,Chair/White,Chair/Red,Chair/Brown,Chair/None,Desk/0,Desk/1,Desk/2,Desk/3,Desk/4,Desk/5,Desk/6,FlowerPot/0,FlowerPot/1,FlowerPot/2,FlowerPot/3,PhotoFrame/0,PhotoFrame/1,PhotoFrame/2,PhotoFrame/3,PhotoFrame/4,PhotoFrame/5,Sofa/Yellow,Sofa/Blue,Sofa/Green,Sofa/White,Sofa/Red,Sofa/Brown,Stand/Yellow,Stand/Blue,Stand/Green,Stand/White,Stand/Red,Stand/Brown
Bed/Yellow,-1.0,37.552,49.6924,33.6833,-1.0,-1.0,-1.0,-1.0,28.2744,48.6315,71.3987,59.6898,38.9948,15.4885,31.1084,5.1322,26.6096,26.3524,24.6284,11.2516,25.3967,18.6705,-1.0,13.3796,14.5763,30.6392,52.441500000000005,26.6599,22.311000000000003,8.8313,11.9027,9.6365,65.23599999999999,44.166599999999995,30.911399999999997,28.249,3.9825999999999997,17.353,72.325,53.855500000000006,33.094899999999996,25.278200000000002,18.7711,66.4638,-1.0,-1.0,57.8891,22.232999999999997,48.224599999999995,-1.0,-1.0,-1.0
Bed/Blue,37.552,-1.0,34.6378,32.1782,-1.0,-1.0,-1.0,-1.0,22.5685,54.2792,50.7038,14.1114,5.6984,6.4895,26.7946,10.835700000000001,28.4499,13.859300000000001,24.5507,14.9328,6.3536,14.369800000000001,-1.0,11.298,27.774300000000004,7.215,15.0202,22.799099999999996,21.6207,-1.0,13.313699999999999,13.087299999999999,37.6004,16.7727,16.442700000000002,7.3706000000000005,6.9615,41.209700000000005,22.4727,32.221599999999995,21.265700000000002,34.3321,5.5465,31.662600000000005,-1.0,-1.0,52.49,6.1203,19.5425,-1.0,-1.0,-1.0
Bed/Green,49.6924,34.6378,-1.0,12.555,-1.0,-1.0,-1.0,-1.0,32.6311,47.559400000000004,32.099599999999995,14.7542,13.2784,13.5228,15.7627,17.8453,27.746699999999997,31.276099999999996,22.441200000000002,11.4916,9.3584,7.6467,-1.0,5.1733,27.498900000000003,20.626600000000003,29.310499999999998,19.0578,20.6022,6.6609,20.1615,8.295300000000001,35.979299999999995,46.983700000000006,17.1405,12.629,5.837200000000001,8.4209,62.0447,30.7593,45.3576,26.278499999999998,10.2739,39.4648,-1.0,-1.0,42.0793,12.945,37.772,-1.0,-1.0,-1.0
Bed/White,33.6833,32.1782,12.555,-1.0,-1.0,-1.0,-1.0,-1.0,30.6178,47.724000000000004,39.4149,15.402299999999999,18.798000000000002,20.4446,12.7955,3.6830999999999996,12.666400000000001,19.3624,21.2059,15.373499999999998,-1.0,21.884,-1.0,13.562100000000001,18.8006,10.6814,20.531299999999998,8.1641,20.1285,8.078299999999999,8.2157,5.5142,40.0484,8.536,-1.0,21.6625,-1.0,12.1112,41.4473,32.4027,40.392900000000004,22.9599,8.4043,17.8763,-1.0,-1.0,25.5361,5.321400000000001,34.7722,-1.0,-1.0,-1.0
Bed/Red,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bed/Brown,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BookShelf/2,28.2744,22.5685,32.6311,30.6178,-1.0,-1.0,-1.0,-1.0,-1.0,14.095500000000001,36.3547,22.0437,42.4975,4.2941,12.3614,12.5406,16.557,27.7678,28.6086,13.3569,6.4977,29.9931,-1.0,12.904399999999999,21.947499999999998,19.3687,28.717800000000004,13.4719,23.387,7.9025,10.6274,14.9789,52.1799,26.420499999999997,16.89,13.344000000000001,3.5701,15.974,38.7286,26.5496,31.821299999999997,19.7115,19.3764,26.4711,-1.0,-1.0,51.775299999999994,16.1978,40.2639,-1.0,-1.0,-1.0
BookShelf/3,48.6315,54.2792,47.559400000000004,47.724000000000004,-1.0,-1.0,-1.0,-1.0,14.095500000000001,-1.0,59.3555,40.061099999999996,45.442299999999996,14.449599999999998,22.3132,4.7744,26.187800000000003,27.026999999999997,32.3702,21.0006,24.4585,35.0563,-1.0,11.836400000000001,32.1031,27.163899999999998,56.43090000000001,24.8943,31.027899999999995,7.7069,15.8414,30.170399999999997,83.2284,36.44970000000001,18.8845,11.2958,5.4117,21.9402,83.8096,57.596199999999996,62.49990000000001,31.887300000000003,19.6863,60.9426,-1.0,-1.0,88.64090000000002,33.6415,69.35929999999999,-1.0,-1.0,-1.0
